URL,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/2015/10/06/upshot/the-cadillac-tax-loved-by-economists-and-few-others.html,86480,112,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8XKUR.html?campaignId=6L6JF,33230,37,text/html
https://www.nytimes.com/2017/02/19/business/media/alex-jones-conspiracy-theories-donald-trump.html,91252,137,text/html
https://www.nytimes.com/subscriptions/sponsor/lp8QRYY.html?campaignId=6L6XL,10635,13,text/html
https://www.nytimes.com/2017/02/10/insider/what-were-reading.html,76034,113,text/html
https://www.nytimes.com/section/obituaries,141272,156,text/html
https://www.nytimes.com/subscriptions/edu/lp8LQFK.html?campaignId=6K4R6,33308,37,text/html
https://www.nytimes.com/2016/11/01/science/bob-dylan-won-but-in-science-the-times-they-arent-a-changin.html?rref=collection%2Fcolumn%2FOut%20There,94990,156,text/html
https://www.nytimes.com/section/jobs,115764,124,text/html
https://www.nytimes.com/section/sports,147397,154,text/html
https://www.nytimes.com/by/margot-sanger-katz,117869,125,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/insider-newsletter-poll-8.html,94039,27,text/html
https://www.nytimes.com/section/realestate,181181,169,text/html
https://www.nytimes.com/video?src=vidm,167308,77,text/html
https://www.nytimes.com/2015/07/22/business/labor-and-employers-join-in-opposition-to-a-health-care-tax.html,93696,99,text/html
http://www.nytimes.com/2008/06/03/science/03dark.html,92061,98,text/html
https://www.nytimes.com/2017/02/19/arts/television/homeland-season-6-episode-5-recap.html,75640,99,text/html
https://www.nytimes.com/2015/10/06/upshot/the-cadillac-tax-loved-by-economists-and-few-others.html?ref=topics,86480,113,text/html
https://www.nytimes.com/2017/02/19/movies/the-great-wall-topples-at-north-american-box-office.html,70772,104,text/html
https://www.nytimes.com/section/education,159882,167,text/html
https://www.nytimes.com/2017/02/16/travel/scuba-diving-in-eritrea.html,102713,116,text/html
https://www.nytimes.com/2016/11/22/science/nasa-webb-space-telescope-hubble.html?rref=collection%2Fcolumn%2FOut%20There,104488,144,text/html
https://www.nytimes.com/2017/02/17/nyregion/new-york-math-camp.html,131839,135,text/html
https://www.nytimes.com/2017/02/16/upshot/republican-health-proposal-would-redirect-money-from-poor-to-rich.html,88306,119,text/html
http://www.nytimes.com/pages/corrections/index.html,80472,53,text/html
https://www.nytimes.com/2017/02/20/health/lilianne-ploumen-abortion-gag-rule-she-decides.html,92107,115,text/html
https://www.nytimes.com/2017/02/19/arts/television/review-the-breaks-vh1-hip-hop-1990s.html,74569,99,text/html
https://www.nytimes.com/by/sarah-lyall,111570,124,text/html
https://www.nytimes.com/2015/10/14/upshot/jeb-bush-has-found-a-part-of-obamacare-to-love.html,83614,122,text/html
https://www.nytimes.com/2017/02/17/magazine/the-cat-named-morphine.html,74609,102,text/html
http://www.nytimes.com/2013/03/22/science/space/planck-satellite-shows-image-of-infant-universe.html,86368,106,text/html
https://www.nytimes.com/trending/,42799,83,text/html
https://www.nytimes.com/2017/02/20/opinion/harry-and-sidney-soul-brothers.html?hp&target=comments,78356,109,text/html
http://www.nytimes.com/health/guides/test/mri/news-and-features.html,28454,91,text/html
https://www.nytimes.com/2015/10/14/upshot/jeb-bush-has-found-a-part-of-obamacare-to-love.html?_r=0,83614,123,text/html
https://www.nytimes.com/2016/12/02/science/naming-stars.html?rref=collection%2Fcolumn%2FOut%20There,94016,142,text/html
https://www.nytimes.com/2015/10/20/science/struggling-to-get-a-handle-on-the-flavorful-neutrino.html,87138,117,text/html
http://www.nytimes.com/newsletters/sample/opinion-today?contentId=TY&eventName=sample&module=newsletter-sign-up&pgtype=subscriptionspage&version=new,99848,103,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/live-chat-live-chat-what-to-expect-from-the-oscars.html?rref=collection%2Fsectioncollection%2FTimes%20Insider,31133,28,text/html
https://www.nytimes.com/subscriptions/hd/1042.html?MediaCode=W22EJ&campaignId=6L6HW,6983,15,text/html
https://www.nytimes.com/interactive/2017/02/16/insider/16-Insider-ANDYINTERACTIVE.html?rref=collection%2Fsectioncollection%2FTimes%20Insider,28348,26,text/html
http://www.nytimes.com/2011/10/25/science/25neutrinos.html,76830,104,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/the-power-of-movies-to-change-our-hearts.html,74236,98,text/html
https://www.nytimes.com/2016/12/12/science/nasa-donald-trump-moon-mars.html?rref=collection%2Fcolumn%2FOut%20There,91895,129,text/html
https://www.nytimes.com/by/dennis-overbye,120393,125,text/html
https://www.nytimes.com/2017/02/17/insider/what-were-reading.html?rref=collection%2Fsectioncollection%2FTimes%20Insider,77286,114,text/html
https://www.nytimes.com/es/,136155,96,text/html
https://www.nytimes.com/2016/08/03/technology/instagram-stories-snapchat-facebook.html,90324,116,text/html
https://www.nytimes.com/by/kim-severson,114410,126,text/html
http://www.nytimes.com/2003/02/18/science/scientist-at-work-adam-reiss-his-prey-dark-energy-in-the-cosmic-abyss.html,93318,91,text/html
https://www.nytimes.com/interactive/2016/10/03/science/hawaii-mauna-kea-telescope-discoveries.html,81956,51,text/html
http://www.nytimes.com/2013/11/07/technology/twitter-prices-ipo-at-26-a-share.html?pagewanted=all,54293,92,text/html
https://www.nytimes.com/2017/02/16/insider/the-times-in-the-schools-or-get-them-while-theyre-young.html?rref=collection%2Fsectioncollection%2FTimes%20Insider,89655,119,text/html
https://www.nytimes.com/2016/11/22/science/nasa-webb-space-telescope-hubble.html,104488,143,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/insider-newsletter-poll-8.html?rref=collection%2Fsectioncollection%2FTimes%20Insider,94039,28,text/html
https://www.nytimes.com/by/mike-isaac,115421,123,text/html
https://www.nytimes.com/content/help/site/ie9-support.html,9011,23,text/html
https://www.nytimes.com/2016/08/03/technology/instagram-stories-snapchat-facebook.html?_r=0,90324,117,text/html
https://www.nytimes.com/2017/02/19/us/politics/donald-trump-national-security-adviser-candidates.html,84108,114,text/html
https://www.nytimes.com/interactive/2015/04/23/science/space/unforgettable-hubble-space-telescope-photos.html,110464,36,text/html
http://www.nytimes.com/2012/08/05/automobiles/autoreviews/accused-of-understatement-but-now-acquitted.html,76562,95,text/html
http://www.nytimes.com/2013/12/15/automobiles/autoreviews/hybrid-infinitis-allure-fuel-savings-and-power.html,72959,100,text/html
https://www.nytimes.com/2016/10/04/science/hawaii-thirty-meter-telescope-mauna-kea.html,121400,138,text/html
http://www.nytimes.com/2013/12/08/automobiles/autoreviews/time-for-an-equestrian-transformation.html,78172,104,text/html
http://www.nytimes.com/2012/05/20/automobiles/autoreviews/in-san-francisco-with-a-gallon-of-gas-to-go.html,81186,98,text/html
https://www.nytimes.com/2017/02/01/technology/snapchat-snap-ceo-evan-spiegel.html,90731,115,text/html
http://www.nytimes.com/2013/04/21/automobiles/autoreviews/mazda-6-a-sporty-declaration-of-independence.html?ref=automobiles,76370,96,text/html
https://www.nytimes.com/column/out-there,111956,124,text/html
https://www.nytimes.com/spotlight/editors-picks,111494,123,text/html
http://www.nytimes.com/pages/automobiles/collectiblecars/index.html,72459,45,text/html
https://www.nytimes.com/2016/11/30/technology/while-we-werent-looking-snapchat-revolutionized-social-networks.html,97902,127,text/html
