URL_SUCCESS,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/video,180942,77,text/html
https://www.nytimes.com/store/?action=click&contentCollection=NYT%20Store&contentPlacement=2&module=SectionsNav&pgtype=Homepage&region=TopBar&t=qry542&utm_campaign=NYT-HP&utm_content=hp_browsetree&utm_medium=HPB&utm_source=nytimes&version=BrowseTree,129245,172,text/html
https://www.nytimes.com/2017/01/27/jobs/career-pause-sabbaticals-unpaid-leaves.html,75365,102,text/html
http://www.nytimes.com/real-estate/find-a-home,236311,170,text/html
https://www.nytimes.com/2017/02/17/health/congress-recess-protest-planned-parenthood-obamacare.html,90351,133,text/html
https://www.nytimes.com/2017/02/18/sports/basketball/nba-triple-double-russell-westbrook.html,90524,111,text/html
https://www.nytimes.com/2017/02/19/world/africa/mogadishu-somalia-suicide-bombing.html,78424,106,text/html
https://www.nytimes.com/2017/02/17/business/yourtaxes/tax-return-form-1040.html,85182,97,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/repeal-the-health-law.html,75293,101,text/html
https://www.nytimes.com/2017/02/18/your-money/taxes/once-again-the-estate-tax-may-die.html,84398,109,text/html
https://www.nytimes.com/section/fashion,190314,186,text/html
https://www.nytimes.com/2017/02/17/realestate/calling-the-chelsea-hotel-home.html,106386,113,text/html
https://www.nytimes.com/2017/02/19/us/politics/affordable-care-act-critics.html,88184,113,text/html
https://www.nytimes.com/2017/02/15/us/remote-workers-work-from-home.html,136727,100,text/html
https://www.nytimes.com/section/world,229913,216,text/html
https://www.nytimes.com/es/,136232,96,text/html
https://www.nytimes.com/2017/02/16/theater/escaped-alone-review.html,80524,105,text/html
https://www.nytimes.com/video/opinion/100000004769313/dangerous-curves.html?playlistId=100000004201922,192828,73,text/html
https://www.nytimes.com/2017/02/19/us/politics/trump-immigration-deportations.html,89279,111,text/html
https://www.nytimes.com/2017/02/16/automobiles/headlights-get-new-attention-as-more-than-a-car-design-flourish.html,80459,102,text/html
https://www.nytimes.com/2017/02/16/business/workologist-workplace-advice.html,78325,104,text/html
https://www.nytimes.com/2017/02/17/dining/pork-chops.html,74566,99,text/html
https://www.nytimes.com/2017/02/19/realestate/the-convertible-tiny-apartment.html,102681,108,text/html
https://www.nytimes.com/2017/02/16/technology/facebook-mark-zuckerberg-mission-statement.html?WT.nav=top-news&_r=0&action=click&clickSource=story-heading&hp&module=second-column-region&pgtype=Homepage&region=top-news,88026,112,text/html
https://www.nytimes.com/2017/02/19/sports/golf/jordan-spieth-personality-shoe-under-armour.html,82626,103,text/html
https://www.nytimes.com/2017/02/19/us/denver-interstate-70-expansion.html,104437,111,text/html
https://www.nytimes.com/2017/02/17/nyregion/columbia-grad-school-acceptance-letters.html,74970,108,text/html
https://www.nytimes.com/video/opinion/100000004896041/mr-trump-meet-my-family.html?playlistId=1194811622305,246861,72,text/html
https://www.nytimes.com/2017/02/17/opinion/sunday/name-brand-nostalgia.html,71143,99,text/html
https://www.nytimes.com/2017/02/16/nyregion/my-nanny-circle-training-group-caregivers.html,82705,112,text/html
https://www.nytimes.com/2017/02/10/business/todd-rovak-corner-office-capgemini.html,81281,106,text/html
https://www.nytimes.com/2017/02/17/world/asia/north-korea-nuclear-threat.html,62946,101,text/html
https://www.nytimes.com/2017/02/18/us/politics/town-hall-protests-obamacare.html,113673,120,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/want-melania-trump-in-the-white-house-pay-her.html,78477,108,text/html
https://www.nytimes.com/video/opinion/100000004909347/this-is-what-a-refugee-looks-like.html?playlistId=1194811622305,247004,72,text/html
https://www.nytimes.com/2017/02/17/upshot/trump-is-down-to-38-approval-how-much-does-it-mean.html,105099,119,text/html
https://www.nytimes.com/2017/02/02/jobs/workologist-applying-job-ethics.html,74562,100,text/html
https://www.nytimes.com/content/help/rights/privacy/policy/privacy-policy.html,37426,49,text/html
http://www.nytimes.com/subscriptions/Multiproduct/lp4371.html?campaignId=3937U,761,2,text/html
https://www.nytimes.com/2017/02/19/us/politics/donald-trump-ukraine-russia.html,106061,124,text/html
https://www.nytimes.com/video/science/space/100000004942728/spacex-launches-rocket-to-internation-space-station.html,241763,77,text/html
https://www.nytimes.com/interactive/2017/jobs/nyt-video-opinion-editor.html,35723,32,text/html
https://www.nytimes.com/news-event/fashion-week,166724,166,text/html
https://www.nytimes.com/2017/02/06/well/family/when-does-a-child-need-a-sick-day.html,84873,107,text/html
https://www.nytimes.com/2017/02/03/business/cedric-bru-taulia-corner-office.html,81128,106,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/breaking-the-anti-immigrant-fever.html,76018,104,text/html
https://www.nytimes.com/content/help/front.html,13773,38,text/html
https://www.nytimes.com/2017/02/19/world/a-worried-europe-finds-scant-reassurance-on-trumps-plans.html,81849,107,text/html
https://www.nytimes.com/2017/01/17/business/indianapolis-real-estate-tech.html,85531,105,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/when-its-time-to-blow-the-whistle.html,74563,100,text/html
https://www.nytimes.com/2017/02/15/business/highway-traffic-safety.html,82692,105,text/html
https://www.nytimes.com/pages/politics/index.html?src=hpHeader,123186,112,text/html
https://www.nytimes.com/2017/02/19/fashion/london-fashion-week-j-w-anderson-simone-rocha.html,657828,123,text/html
https://www.nytimes.com/section/obituaries,141300,156,text/html
https://www.nytimes.com/2017/02/19/us/politics/fec-elections-ann-ravel-campaign-finance.html,75731,99,text/html
https://www.nytimes.com/2017/01/27/business/sheryl-palmer-on-her-shoes-off-leadership-style.html,81204,105,text/html
https://www.nytimes.com/video?src=vidm,180942,77,text/html
https://www.nytimes.com/2017/02/17/fashion/big-jackets-new-york-fashion-week.html?rref=collection%2Fnewseventcollection%2FLondon%20Fashion%20Week,147294,118,text/html
http://www.nytimes.com/2013/12/08/automobiles/autoreviews/time-for-an-equestrian-transformation.html,78172,104,text/html
https://www.nytimes.com/2017/02/19/business/media/void-start-up-virtual-reality.html,99666,127,text/html
http://www.nytimes.com/2013/12/22/automobiles/autoreviews/something-about-it-says-party.html,67383,92,text/html
https://www.nytimes.com/2017/02/19/us/politics/affordable-care-act-critics.html?hp&target=comments,88184,114,text/html
http://www.nytimes.com/2011/02/20/automobiles/autoreviews/byd-f3-dm-review.html,51204,111,text/html
http://www.nytimes.com/2013/04/21/automobiles/autoreviews/mazda-6-a-sporty-declaration-of-independence.html?ref=automobiles,76370,96,text/html
https://www.nytimes.com/2017/02/19/t-magazine/simone-rocha-london-fashion-week-beauty.html?rref=collection%2Fnewseventcollection%2FLondon%20Fashion%20Week,65919,96,text/html
https://www.nytimes.com/section/education,159923,167,text/html
https://www.nytimes.com/2017/02/17/t-magazine/fashion/new-york-fashion-week-top-10-moments.html?rref=collection%2Fnewseventcollection%2FLondon%20Fashion%20Week,81974,101,text/html
http://www.nytimes.com/2012/12/30/automobiles/autoreviews/oxymoron-from-italy-the-civilized-supercar.html,79432,95,text/html
http://www.nytimes.com/2013/06/16/automobiles/autoreviews/modern-maturity-for-the-original-cute-ute.html,79316,101,text/html
https://www.nytimes.com/interactive/2017/02/16/us/politics/document-The-New-Obamacare-Replacement-Template.html,28348,26,text/html
https://www.nytimes.com/2017/02/09/business/pediatrician-heal-michelle-chien.html,69555,98,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8XKUR.html?campaignId=6L6JF,33230,37,text/html
http://www.nytimes.com/2011/07/03/automobiles/autoreviews/03WHEEL.html,78239,102,text/html
https://www.nytimes.com/section/upshot,136951,143,text/html
http://www.nytimes.com/2010/11/21/automobiles/autoreviews/21BLOCK.html,71272,99,text/html
https://www.nytimes.com/section/sports,145755,153,text/html
http://www.nytimes.com/2013/08/18/automobiles/autoreviews/a-marriage-of-economy-and-serenity.html,67429,95,text/html
http://www.nytimes.com/pages/corrections/index.html,87247,58,text/html
https://www.nytimes.com/2015/10/06/upshot/the-cadillac-tax-loved-by-economists-and-few-others.html,86480,112,text/html
https://www.nytimes.com/2017/02/02/jobs/dabbawalas-india-lunch.html,68991,99,text/html
https://www.nytimes.com/subscriptions/edu/lp8LQFK.html?campaignId=6K4R6,33308,37,text/html
http://www.nytimes.com/2011/02/20/automobiles/autoreviews/chevy-camaro-convertible.html,51076,110,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8XKUR.html?campaignId=6L6JJ,33230,37,text/html
http://www.nytimes.com/2011/11/27/automobiles/autoreviews/2012-buick-lacrosse-smugness-comes-standard.html,73462,97,text/html
http://www.nytimes.com/2012/02/19/automobiles/taking-a-spin-in-an-electric-bmw-activee.html,78563,97,text/html
https://www.nytimes.com/by/margot-sanger-katz,117869,125,text/html
http://www.nytimes.com/slideshow/2017/02/19/t-magazine/fashion/london-fashion-week/s/goddard-anderson-rocha-slide-FQ12.html,76227,33,text/html
http://www.nytimes.com/2013/08/04/automobiles/autoreviews/upwardly-mobile-but-not-in-any-hurry-to-get-there.html,73028,96,text/html
http://www.nytimes.com/2010/10/24/automobiles/autoreviews/24porsche-cayenne-turbo.html,69326,96,text/html
http://www.nytimes.com/interactive/blogs/directory.html,97018,134,text/html
http://www.nytimes.com/2012/01/29/automobiles/autoreviews/cr-v-welterweight-champ-steps-back-in-the-ring.html,76240,96,text/html
http://www.nytimes.com/ref/classifieds/,21045,60,text/html
http://www.nytimes.com/2013/01/27/automobiles/any-engine-you-like-but-only-if-its-a-hybrid.html,77782,95,text/html
https://www.nytimes.com/2015/07/22/business/labor-and-employers-join-in-opposition-to-a-health-care-tax.html,93696,99,text/html
http://www.nytimes.com/2010/12/05/automobiles/autoreviews/05dodge-viper.html,68567,95,text/html
https://www.nytimes.com/spotlight/times-tips?contentCollection=smarter-living,138189,147,text/html
http://www.nytimes.com/2011/07/17/automobiles/autoreviews/ford-focus-is-slick-package-but-gearbox-is-a-drag.html,78430,100,text/html
https://www.nytimes.com/2015/10/06/upshot/the-cadillac-tax-loved-by-economists-and-few-others.html?ref=topics,86480,113,text/html
http://www.nytimes.com/2012/09/02/automobiles/autoreviews/electric-honda-plays-hard-to-get.html,72695,100,text/html
http://www.nytimes.com/2012/10/14/automobiles/autoreviews/an-allroad-without-ups-and-downs.html,70933,95,text/html
http://www.nytimes.com/2012/04/15/automobiles/2012-hyundai-accent-So-Perfectly-Ordinary-That-Its-Extraordinary.html,77212,102,text/html
http://www.nytimes.com/2013/07/14/automobiles/autoreviews/getting-comfortable-on-a-bigger-stage.html,78923,101,text/html
https://www.nytimes.com/2017/02/16/upshot/republican-health-proposal-would-redirect-money-from-poor-to-rich.html,88306,119,text/html
http://www.nytimes.com/2012/08/12/automobiles/bmw-528i-fewer-cylinders-not-that-youll-notice.html,77552,94,text/html
http://www.nytimes.com/2012/04/08/automobiles/autoreviews/infinitis-cheetah-the-blue-period.html,72946,97,text/html
https://www.nytimes.com/2015/10/14/upshot/jeb-bush-has-found-a-part-of-obamacare-to-love.html,83614,122,text/html
http://www.nytimes.com/2012/09/30/automobiles/autoreviews/one-big-step-for-tesla-one-giant-leap-for-evs.html,80662,99,text/html
http://www.nytimes.com/2012/04/22/automobiles/autoreviews/porsche-911-brainpower-to-match-the-brawn.html,78957,99,text/html
http://www.nytimes.com/2013/11/17/automobiles/autoreviews/the-viper-strikes-back.html,75675,99,text/html
http://www.nytimes.com/2010/11/28/automobiles/autoreviews/28honda-accord.html,68503,98,text/html
https://www.nytimes.com/2015/10/14/upshot/jeb-bush-has-found-a-part-of-obamacare-to-love.html?_r=0,83614,123,text/html
http://www.nytimes.com/2012/03/18/automobiles/autoreviews/moving-to-the-intersection-of-avalon-and-lacrosse.html,77553,101,text/html
http://www.nytimes.com/2012/03/25/automobiles/autoreviews/mercedes-sls-roadster-flying-high-without-wings.html,70938,93,text/html
https://www.nytimes.com/video/t-magazine,148894,73,text/html
http://www.nytimes.com/2013/12/08/automobiles/autoreviews/something-new-something-old.html,69091,96,text/html
https://www.nytimes.com/section/us,137877,143,text/html
http://www.nytimes.com/2013/11/03/automobiles/autoreviews/even-in-bright-hues-color-it-beige.html,77234,97,text/html
http://www.nytimes.com/subscriptions/switch/lp8964W.html?campaignId=4W6QF,28846,18,text/html
